ObjectId,IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall,Refdatum,NeuGenesen,AnzahlGenesen,IstErkrankungsbeginn,Altersgruppe2
15681408,11,Berlin,SK Berlin Mitte,A00-A04,M,1,0,2020/03/05 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/03/07 00:00:00,0,1,1,Nicht übermittelt
15681409,11,Berlin,SK Berlin Mitte,A00-A04,M,1,0,2020/03/11 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/03/03 00:00:00,0,1,1,Nicht übermittelt
15681410,11,Berlin,SK Berlin Mitte,A00-A04,M,1,0,2020/03/14 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/03/13 00:00:00,0,1,1,Nicht übermittelt
15681411,11,Berlin,SK Berlin Mitte,A00-A04,M,1,0,2020/03/18 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/03/13 00:00:00,0,1,1,Nicht übermittelt
15681412,11,Berlin,SK Berlin Mitte,A00-A04,M,1,0,2020/03/22 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/03/21 00:00:00,0,1,1,Nicht übermittelt
15681413,11,Berlin,SK Berlin Mitte,A00-A04,M,1,0,2020/03/26 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/03/18 00:00:00,0,1,1,Nicht übermittelt
15681414,11,Berlin,SK Berlin Mitte,A00-A04,M,1,0,2020/03/28 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/03/17 00:00:00,0,1,1,Nicht übermittelt
15681415,11,Berlin,SK Berlin Mitte,A00-A04,M,1,0,2020/03/28 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/03/25 00:00:00,0,1,1,Nicht übermittelt
15681416,11,Berlin,SK Berlin Mitte,A00-A04,M,1,0,2020/04/04 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/03/31 00:00:00,0,1,1,Nicht übermittelt
15681417,11,Berlin,SK Berlin Mitte,A00-A04,M,1,0,2020/04/06 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/04/05 00:00:00,0,1,1,Nicht übermittelt
15681418,11,Berlin,SK Berlin Mitte,A00-A04,M,1,0,2020/04/06 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/04/06 00:00:00,0,1,0,Nicht übermittelt
15681419,11,Berlin,SK Berlin Mitte,A00-A04,M,1,0,2020/04/13 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/04/06 00:00:00,0,1,1,Nicht übermittelt
15681420,11,Berlin,SK Berlin Mitte,A00-A04,M,1,0,2020/04/14 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/04/12 00:00:00,0,1,1,Nicht übermittelt
15681421,11,Berlin,SK Berlin Mitte,A00-A04,M,1,0,2020/04/23 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/04/19 00:00:00,0,1,1,Nicht übermittelt
15681422,11,Berlin,SK Berlin Mitte,A00-A04,M,1,0,2020/05/07 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/04/29 00:00:00,0,1,1,Nicht übermittelt
15681423,11,Berlin,SK Berlin Mitte,A00-A04,M,1,0,2020/05/18 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/05/15 00:00:00,0,1,1,Nicht übermittelt
15681424,11,Berlin,SK Berlin Mitte,A00-A04,M,1,0,2020/05/19 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/05/08 00:00:00,0,1,1,Nicht übermittelt
15681425,11,Berlin,SK Berlin Mitte,A00-A04,M,1,0,2020/05/25 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/05/22 00:00:00,0,1,1,Nicht übermittelt
15681426,11,Berlin,SK Berlin Mitte,A00-A04,M,1,0,2020/05/31 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/05/29 00:00:00,0,1,1,Nicht übermittelt
15681427,11,Berlin,SK Berlin Mitte,A00-A04,M,1,0,2020/06/04 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/05/31 00:00:00,0,1,1,Nicht übermittelt
15681428,11,Berlin,SK Berlin Mitte,A00-A04,M,1,0,2020/06/10 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/06/10 00:00:00,0,1,0,Nicht übermittelt
15681429,11,Berlin,SK Berlin Mitte,A00-A04,M,2,0,2020/06/13 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/06/13 00:00:00,0,2,0,Nicht übermittelt
15681430,11,Berlin,SK Berlin Mitte,A00-A04,M,1,0,2020/06/18 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/06/13 00:00:00,0,1,1,Nicht übermittelt
15681431,11,Berlin,SK Berlin Mitte,A00-A04,M,1,0,2020/06/18 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/06/18 00:00:00,-9,0,0,Nicht übermittelt
15681432,11,Berlin,SK Berlin Mitte,A00-A04,M,3,0,2020/06/18 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/06/18 00:00:00,0,3,0,Nicht übermittelt
15681433,11,Berlin,SK Berlin Mitte,A00-A04,W,1,0,2020/03/22 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/03/21 00:00:00,0,1,1,Nicht übermittelt
15681434,11,Berlin,SK Berlin Mitte,A00-A04,W,1,0,2020/04/04 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/04/05 00:00:00,0,1,1,Nicht übermittelt
15681435,11,Berlin,SK Berlin Mitte,A00-A04,W,1,0,2020/04/06 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/03/31 00:00:00,0,1,1,Nicht übermittelt
15681436,11,Berlin,SK Berlin Mitte,A00-A04,W,1,0,2020/04/09 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/03/31 00:00:00,0,1,1,Nicht übermittelt
15681437,11,Berlin,SK Berlin Mitte,A00-A04,W,1,0,2020/04/09 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/04/07 00:00:00,0,1,1,Nicht übermittelt
15681438,11,Berlin,SK Berlin Mitte,A00-A04,W,1,0,2020/06/13 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/06/13 00:00:00,0,1,0,Nicht übermittelt
15681439,11,Berlin,SK Berlin Mitte,A00-A04,W,1,0,2020/06/18 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/06/18 00:00:00,0,1,0,Nicht übermittelt
15681440,11,Berlin,SK Berlin Mitte,A00-A04,W,1,0,2020/06/18 00:00:00,11001,"04.07.2020, 00:00 Uhr",0,-9,2020/06/18 00:00:00,-9,0,0,Nicht übermittelt
